,date in,date out,ref,call/put,ticker,pricein,priceout,size,value,barlength,change(%),pnl,pnl(%),pnl/bar,cumulative profit
0,2020-03-10 15:00:00,2020-03-10 16:00:00,506,call,AAPL-15min,278.24,280.53,1,278.24,4,0.82,2.2899999999999636,0.23,0.57,2.2899999999999636
1,2020-03-11 10:00:00,2020-03-11 10:45:00,507,put,AAPL-15min,277.82,275.54,-1,-277.82,3,-0.82,2.2799999999999727,0.23,0.76,4.569999999999936
2,2020-03-13 11:15:00,2020-03-13 12:00:00,508,put,AAPL-15min,257.05,255.01,-1,-257.05,3,-0.79,2.0400000000000205,0.2,0.68,6.609999999999957
3,2020-03-16 12:30:00,2020-03-16 13:15:00,509,put,AAPL-15min,255.98,253.525,-1,-255.98,3,-0.96,2.454999999999984,0.24,0.82,9.06499999999994
4,2020-03-17 13:00:00,2020-03-17 13:30:00,510,put,AAPL-15min,250.61,249.11,-1,-250.61,2,-0.6,1.5,0.15,0.75,10.56499999999994
5,2020-03-17 14:15:00,2020-03-17 14:45:00,511,call,AAPL-15min,253.19,254.95,1,253.19,2,0.7,1.759999999999991,0.17,0.88,12.324999999999932
6,2020-03-17 15:30:00,2020-03-17 15:45:00,512,put,AAPL-15min,251.575,249.79,-1,-251.575,1,-0.71,1.7849999999999966,0.18,1.78,14.109999999999928
7,2020-03-18 15:45:00,2020-03-20 16:00:00,513,put,AAPL-15min,239.23,235.9,-1,-239.23,53,-1.39,3.329999999999984,0.33,0.06,17.439999999999912
8,2020-03-23 13:45:00,2020-03-23 14:00:00,514,put,AAPL-15min,221.99,220.79,-1,-221.99,1,-0.54,1.200000000000017,0.12,1.2,18.63999999999993
9,2020-03-26 13:30:00,2020-03-27 10:00:00,515,put,AAPL-15min,252.08,249.02,-1,-252.08,12,-1.21,3.0600000000000023,0.3,0.26,21.699999999999932
10,2020-03-30 12:30:00,2020-04-01 10:00:00,516,put,AAPL-15min,251.76,247.24,-1,-251.76,42,-1.8,4.519999999999982,0.44,0.11,26.219999999999914
11,2020-04-02 12:45:00,2020-04-02 13:45:00,517,put,AAPL-15min,242.08,239.82,-1,-242.08,4,-0.93,2.2600000000000193,0.22,0.57,28.479999999999933
12,2020-04-02 15:30:00,2020-04-02 16:00:00,518,call,AAPL-15min,240.885,242.83,1,240.885,2,0.81,1.9450000000000216,0.19,0.97,30.424999999999955
13,2020-04-06 09:45:00,2020-04-06 10:15:00,519,call,AAPL-15min,250.9,253.29,1,250.9,2,0.95,2.3899999999999864,0.23,1.19,32.81499999999994
14,2020-04-08 10:00:00,2020-04-08 11:45:00,520,call,AAPL-15min,263.62,265.46,1,263.62,7,0.7,1.839999999999975,0.18,0.26,34.654999999999916
15,2020-04-08 14:45:00,2020-04-09 10:00:00,521,call,AAPL-15min,264.86,269.83,1,264.86,7,1.88,4.96999999999997,0.48,0.71,39.624999999999886
16,2020-04-09 12:15:00,2020-04-13 10:30:00,522,call,AAPL-15min,267.17,268.7,1,267.17,19,0.57,1.5299999999999727,0.15,0.08,41.15499999999986
17,2020-04-13 14:15:00,2020-04-13 15:45:00,523,call,AAPL-15min,269.47,271.42,1,269.47,6,0.72,1.9499999999999886,0.19,0.32,43.10499999999985
