Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-06-01,3.8,6.08,3.0,3.9,3.9,577837000.0,0,0.0
2010-09-01,3.92,7.2,3.9,7.07,7.07,264544000.0,0,0.0
2010-12-01,7.17,7.28,4.22,4.78,4.78,473082500.0,0,0.0
2011-03-01,4.81,6.06,4.35,6.03,6.03,464035000.0,0,0.0
2011-06-01,6.0,6.3,4.3,4.95,4.95,440225500.0,0,0.0
2011-09-01,4.93,7.0,4.46,6.55,6.55,327654500.0,0,0.0
2011-12-01,6.51,7.0,4.53,6.68,6.68,349660000.0,0,0.0
2012-03-01,6.7,7.99,5.37,5.9,5.9,395508500.0,0,0.0
2012-06-01,5.71,7.2,5.1,5.7,5.7,415763000.0,0,0.0
2012-09-01,5.7,6.86,5.37,6.76,6.76,373384500.0,0,0.0
2012-12-01,6.78,8.0,6.42,6.97,6.97,472174500.0,0,0.0
2013-03-01,7.0,22.98,6.85,19.55,19.55,2212120000.0,0,0.0
2013-06-01,19.52,34.6,17.65,33.8,33.8,3339547500.0,0,0.0
2013-09-01,34.68,38.9,23.22,25.46,25.46,3690269500.0,0,0.0
2013-12-01,25.27,53.0,24.79,48.96,48.96,3037621500.0,0,0.0
2014-03-01,47.45,52.0,35.44,41.55,41.55,2333517500.0,0,0.0
2014-06-01,41.47,54.4,39.85,53.94,53.94,1730813000.0,0,0.0
2014-09-01,55.1,58.28,43.46,48.9,48.9,1963113000.0,0,0.0
2014-12-01,48.23,48.49,37.0,40.67,40.67,1619344000.0,0,0.0
2015-03-01,40.54,50.57,36.28,50.16,50.16,1555315000.0,0,0.0
2015-06-01,50.28,57.33,39.0,49.81,49.81,1303991000.0,0,0.0
2015-09-01,48.07,54.31,40.4,46.05,46.05,1297942500.0,0,0.0
2015-12-01,46.21,48.73,28.21,38.39,38.39,1363992500.0,0,0.0
2016-03-01,38.85,53.87,36.3,44.65,44.65,1708684000.0,0,0.0
2016-06-01,44.3,48.17,37.57,42.4,42.4,1290139000.0,0,0.0
2016-09-01,41.8,43.13,35.64,37.88,37.88,1308253500.0,0,0.0
2016-12-01,37.65,57.48,36.0,50.0,50.0,1541065000.0,0,0.0
2017-03-01,50.84,68.58,48.56,68.2,68.2,1860161000.0,0,0.0
2017-06-01,68.8,77.4,60.63,71.18,71.18,2522663500.0,0,0.0
2017-09-01,71.22,77.92,58.53,61.77,61.77,1916811000.0,0,0.0
2017-12-01,61.09,72.1,58.95,68.61,68.61,1716731000.0,0,0.0
2018-03-01,69.0,69.73,48.92,56.95,56.95,2515787000.0,0,0.0
2018-06-01,57.17,77.49,56.77,60.33,60.33,3315567500.0,0,0.0
2018-09-01,59.39,73.35,49.55,70.1,70.1,3077276000.0,0,0.0
2018-12-01,72.0,358.49,55.86,63.98,63.98,2253267000.0,0,0.0
2019-03-01,61.39,61.43,36.82,37.03,37.03,3635698000.0,0,0.0
2019-06-01,37.1,53.21,35.4,45.12,45.12,2740489500.0,0,0.0
2019-09-01,44.82,72.24,43.67,65.99,65.99,2607643500.0,0,0.0
2019-12-01,65.88,193.8,65.45,133.6,133.6,5436975500.0,0,0.0
2020-03-01,142.25,173.96,70.1,167.0,167.0,5376624500.0,0,0.0
2020-06-01,171.6,500.14,170.82,498.32,498.32,4730351900.0,0,0.0
2020-08-31,,,,,,,0,5.0
2020-09-01,502.14,502.49,470.51,475.05,475.05,89841100.0,0,0.0
2020-09-02,478.99,479.04,405.12,446.05,446.05,76514107.0,0,0.0
